"local_cloaking_4","local_cloaking_200","local_cloaking_400","local_cloaking_600","local_cloaking_800","local_cloaking_1000"
6,9,187,835,231,992
2,61,169,126,691,299
29,13,124,696,71,105
1,2,2,495,174,2
2,14,59,96,70,69
2,86,283,70,340,407
1,11,22,332,99,36
7,0,45,306,304,178
3,0,445,101,1223,953
19,85,17,149,405,259
22,247,418,580,237,280
6,16,17,89,117,256
1,67,107,518,379,333
11,331,156,84,1334,1726
8,124,159,491,461,1247
0,3,70,215,592,184
1,5,478,6,2,238
5,135,94,376,434,20
30,315,1,120,208,335
3,58,64,349,171,326
19,31,505,67,147,315
2,203,249,159,1616,8
14,82,58,387,34,1190
44,330,465,213,678,466
4,44,395,406,506,226
5,6,0,936,923,39
54,96,358,17,387,709
3,146,180,1369,37,62
10,24,280,964,182,198
9,49,178,275,1597,347
13,11,241,161,471,264
11,46,163,139,701,240
46,51,53,414,359,44
17,32,210,63,211,37
3,493,7,419,116,494
9,131,84,20,327,508
66,166,44,492,222,494
5,48,63,251,227,612
42,48,159,210,223,296
8,12,365,242,529,691
74,82,370,6,465,412
5,7,88,374,928,128
1,29,51,176,305,174
8,219,14,219,148,71
16,9,120,511,200,419
95,21,87,477,71,445
171,32,261,4,527,232
2,10,458,216,22,508
1,110,624,169,275,1131
3,255,22,1360,126,116
1,12,1,587,4,152
3,46,9,88,99,467
25,6,274,19,48,285
74,59,318,139,23,796
11,137,212,116,60,32
1,28,96,344,156,283
10,1,237,21,790,105
11,72,377,231,75,109
1,97,168,47,303,103
11,268,75,205,327,158
102,191,878,62,843,286
5,137,207,594,71,897
52,81,79,290,70,313
1,147,95,619,772,455
135,50,219,222,330,1296
10,134,194,171,688,382
3,12,49,443,1214,520
33,37,29,188,428,244
0,105,22,210,188,861
37,1273,45,10,13,320
1,2,110,582,692,581
4,37,33,739,31,375
20,143,455,388,774,958
97,219,133,757,263,30
52,108,605,84,928,496
15,1,42,103,334,56
82,4,126,253,434,823
9,267,32,51,311,262
18,131,356,269,165,56
2,41,26,92,680,515
45,38,550,254,427,44
18,137,224,200,443,433
0,3,515,561,218,91
3,34,27,109,263,9
3,107,49,146,634,120
24,78,202,432,918,647
9,81,175,241,326,838
2,160,76,386,190,254
1,81,2,69,503,201
2,41,417,195,491,754
1,42,75,1244,322,17
14,62,197,264,93,171
3,8,77,165,515,1307
4,12,164,53,99,65
6,166,67,355,257,659
1,100,169,74,311,223
1,349,273,157,8,599
1,267,250,203,55,1422
2,54,429,4,387,81
44,841,601,553,1006,758
35,94,143,176,1624,1344
24,6,40,453,258,1487
57,72,876,97,425,585
3,66,590,239,968,301
4,54,43,965,26,341
3,21,43,73,1417,273
17,279,484,77,121,543
13,7,287,53,68,664
7,37,214,224,571,610
1,106,22,611,386,154
151,235,340,126,318,746
5,75,399,118,97,379
9,49,25,478,731,294
2,38,22,132,99,258
96,224,237,55,998,413
1,115,141,183,47,118
15,8,65,10,79,1431
5,189,1,546,2,14
19,52,127,908,264,1095
1,28,31,203,78,162
6,263,301,335,42,278
76,121,468,645,1478,64
9,13,71,220,129,541
2,23,131,382,195,151
9,51,1011,314,437,834
5,61,26,73,1069,66
3,161,341,779,1220,455
6,31,136,275,52,228
106,49,416,421,57,479
5,141,46,590,408,805
8,29,6,257,157,262
2,48,134,501,21,358
2,289,34,16,363,16
25,321,198,326,56,160
20,750,569,424,35,143
36,49,78,50,438,787
21,39,93,44,748,41
2,91,73,476,992,738
28,400,301,232,14,786
1,52,6,26,71,444
4,109,626,729,502,57
3,26,323,590,564,34
2,43,304,197,684,1053
66,560,31,171,295,704
6,201,479,260,442,415
2,266,414,768,573,70
5,597,36,165,1528,781
8,21,267,120,14,17
26,524,29,104,335,432
10,18,509,104,791,442
40,264,22,215,333,82
50,342,165,177,899,307
5,243,11,188,710,333
4,1,144,14,364,325
1,41,148,20,308,697
6,526,150,14,318,270
14,253,538,676,100,461
29,132,420,455,603,169
2,89,136,46,121,75
1,33,224,138,75,343
24,152,164,456,347,27
10,54,197,92,329,32
4,545,306,18,334,503
4,43,9,393,409,219
1,83,109,17,1026,403
0,26,30,100,288,921
2,4,228,179,692,480
26,88,245,75,298,52
2,715,9,87,449,87
80,74,219,548,389,314
3,99,58,459,234,1139
4,58,12,25,98,1166
60,6,54,86,694,288
2,43,175,314,356,706
26,254,2,520,62,277
5,113,385,408,41,836
11,74,10,13,854,273
7,4,123,508,292,310
3,1,327,89,354,821
19,58,84,207,518,564
2,2,262,146,211,27
13,103,788,47,45,322
10,55,189,7,18,281
157,5,306,30,135,1090
24,104,267,573,187,22
