dcr_values,nndr_values,type,round
2.8764405,0.97224885,Reference,round_0
3.012134,0.97052854,Reference,round_0
2.0841367,0.87979925,Reference,round_0
1.5829678,0.9674628,Reference,round_0
3.843963,0.9972663,Reference,round_0
3.5524015,0.8749199,Reference,round_0
4.094533,0.999818,Reference,round_0
2.873067,0.9553108,Reference,round_0
3.029747,0.8571791,Reference,round_0
3.4785502,0.91674036,Reference,round_0
3.3670912,0.98525095,Reference,round_0
1.7762188,0.5513205,Reference,round_0
4.3538685,0.9529341,Reference,round_0
2.7811813,0.8382486,Reference,round_0
1.9517485,0.86261225,Reference,round_0
3.0314217,0.86630607,Reference,round_0
2.9481838,0.8856351,Reference,round_0
5.158608,0.99180984,Reference,round_0
2.4400399,0.95559734,Reference,round_0
3.639099,0.996198,Reference,round_0
1.8297654,0.6936375,Reference,round_0
3.867368,0.9762944,Reference,round_0
1.2061539,0.79441607,Reference,round_0
4.1391826,0.90106636,Reference,round_0
2.2644343,0.9639501,Reference,round_0
2.1042368,0.63244194,Reference,round_0
1.5025994,0.8060573,Reference,round_0
2.6539555,0.58985573,Reference,round_0
2.68898,0.928351,Reference,round_0
3.422817,0.991568,Reference,round_0
4.960413,0.9581147,Reference,round_0
4.610842,0.96922016,Reference,round_0
5.9530354,0.9102123,Reference,round_0
4.5752974,0.9949886,Reference,round_0
3.31062,0.9412547,Reference,round_0
3.7935255,0.9949545,Reference,round_0
3.4706655,0.9993306,Reference,round_0
2.17581,0.7149967,Reference,round_0
6.007876,0.98253596,Reference,round_0
1.979651,0.68275267,Reference,round_0
2.6221995,0.93877435,Reference,round_0
2.5108483,0.823827,Avatar,round_0
2.2803497,0.787135,Avatar,round_0
2.1357098,0.6276381,Avatar,round_0
0.77770925,0.8258798,Avatar,round_0
0.4369678,0.22025567,Avatar,round_0
1.0013533,0.67850626,Avatar,round_0
0.51098394,0.20383313,Avatar,round_0
0.41886222,0.17055136,Avatar,round_0
2.3318923,0.9198609,Avatar,round_0
2.8537009,0.78370494,Avatar,round_0
1.2265749,0.68187445,Avatar,round_0
1.5776161,0.7210407,Avatar,round_0
1.334384,0.8865761,Avatar,round_0
2.2809715,0.8579257,Avatar,round_0
2.9338336,0.96503085,Avatar,round_0
2.1572149,0.7246807,Avatar,round_0
3.4060462,0.9475266,Avatar,round_0
1.5080073,0.3315085,Avatar,round_0
1.8982556,0.7754261,Avatar,round_0
0.6780214,0.2281379,Avatar,round_0
2.6383646,0.8357909,Avatar,round_0
0.32687867,0.18121111,Avatar,round_0
0.44314852,0.32751843,Avatar,round_0
2.3140962,0.9252235,Avatar,round_0
0.59668845,0.15266155,Avatar,round_0
3.2033644,0.9482276,Avatar,round_0
2.74806,0.9690563,Avatar,round_0
1.4060893,0.6822317,Avatar,round_0
0.9619492,0.45245385,Avatar,round_0
0.9740975,0.56581116,Avatar,round_0
2.6225946,0.91146594,Avatar,round_0
1.3268154,0.914086,Avatar,round_0
0.31850314,0.13782947,Avatar,round_0
0.27848303,0.12373363,Avatar,round_0
2.6282387,0.9169866,Avatar,round_0
2.1942174,0.9720321,Avatar,round_0
1.2677692,0.4128006,Avatar,round_0
1.4846679,0.45591962,Avatar,round_0
1.530581,0.69669175,Avatar,round_0
0.9031572,0.9195906,Avatar,round_0
0.96340847,0.7541355,Avatar,round_0
0.35589775,0.06651048,Avatar,round_0
3.6315024,0.846713,Avatar,round_0
0.1754989,0.11248957,Avatar,round_0
0.6313067,0.23943739,Avatar,round_0
1.3167887,0.8464548,Avatar,round_0
0.23632005,0.09558097,Avatar,round_0
1.2079,0.46911126,Avatar,round_0
4.1289062,0.7675158,Avatar,round_0
4.1073527,0.9687844,Avatar,round_0
0.5653074,0.21160206,Avatar,round_0
0.30782017,0.16978516,Avatar,round_0
1.3316073,0.57257056,Avatar,round_0
0.704239,0.42651656,Avatar,round_0
0.77424103,0.2478398,Avatar,round_0
0.21647552,0.15994048,Avatar,round_0
2.9930224,0.86761945,Avatar,round_0
3.664307,0.7150541,Avatar,round_0
3.320216,0.85296214,Avatar,round_0
2.0802808,0.6151222,Avatar,round_0
0.2885573,0.26851988,Avatar,round_0
2.538269,0.7943516,Avatar,round_0
