,0,perf,type
321,96.15384615384616,ppv,Synthpop
322,96.0,npv,Synthpop
323,0.9973848585189644,auc,Synthpop
324,0.9609756097560975,acc,Original
325,97.70992366412213,sens,Original
326,93.24324324324324,spec,Original
327,96.2406015037594,ppv,Original
328,95.83333333333334,npv,Original
329,0.9999422377110729,auc,Original
330,0.9658536585365853,acc,Synthpop
331,99.20634920634922,sens,Synthpop
332,92.40506329113924,spec,Synthpop
333,95.41984732824427,ppv,Synthpop
334,98.64864864864865,npv,Synthpop
335,0.9948289130393979,auc,Synthpop
336,0.9560975609756097,acc,Original
337,96.96969696969697,sens,Original
338,93.15068493150685,spec,Original
339,96.2406015037594,ppv,Original
340,94.44444444444444,npv,Original
341,0.9973814429019775,auc,Original
342,0.926829268292683,acc,Synthpop
343,95.6896551724138,sens,Synthpop
344,88.76404494382022,spec,Synthpop
345,91.73553719008265,ppv,Synthpop
346,94.04761904761905,npv,Synthpop
347,0.9814101700136705,auc,Synthpop
348,0.9707317073170731,acc,Original
349,98.47328244274809,sens,Original
350,94.5945945945946,spec,Original
351,96.99248120300751,ppv,Original
352,97.22222222222221,npv,Original
353,0.996341721701292,auc,Original
354,0.9658536585365853,acc,Synthpop
355,95.55555555555556,sens,Synthpop
356,98.57142857142858,spec,Synthpop
357,99.23076923076923,ppv,Synthpop
358,92.0,npv,Synthpop
359,0.9845725466586394,auc,Synthpop
360,0.9707317073170731,acc,Original
361,99.2248062015504,sens,Original
362,93.42105263157895,spec,Original
363,96.2406015037594,ppv,Original
364,98.61111111111111,npv,Original
365,0.9969193445905616,auc,Original
366,0.9560975609756097,acc,Synthpop
367,95.45454545454545,sens,Synthpop
368,95.8904109589041,spec,Synthpop
369,97.67441860465115,ppv,Synthpop
370,92.10526315789474,npv,Synthpop
371,0.9900801508722301,auc,Synthpop
372,0.9463414634146341,acc,Original
373,96.92307692307692,sens,Original
374,90.66666666666666,spec,Original
375,94.73684210526315,ppv,Original
376,94.44444444444444,npv,Original
377,0.9977665248281572,auc,Original
378,0.9658536585365853,acc,Synthpop
379,96.15384615384616,sens,Synthpop
380,97.33333333333334,spec,Synthpop
381,98.4251968503937,ppv,Synthpop
382,93.58974358974359,npv,Synthpop
383,0.9819387851795698,auc,Synthpop
384,0.9853658536585366,acc,Original
385,98.50746268656717,sens,Original
386,98.59154929577466,spec,Original
387,99.24812030075188,ppv,Original
388,97.22222222222221,npv,Original
389,0.9912393861794097,auc,Original
390,0.9560975609756097,acc,Synthpop
391,97.58064516129032,sens,Synthpop
392,92.5925925925926,spec,Synthpop
393,95.2755905511811,ppv,Synthpop
394,96.15384615384616,npv,Synthpop
395,0.995811617549512,auc,Synthpop
396,0.9707317073170731,acc,Original
397,100.0,sens,Original
398,92.3076923076923,spec,Original
399,95.48872180451127,ppv,Original
400,100.0,npv,Original
401,0.9960914184492751,auc,Original
402,0.9560975609756097,acc,Synthpop
403,97.70992366412213,sens,Synthpop
404,91.8918918918919,spec,Synthpop
405,95.52238805970148,ppv,Synthpop
406,95.77464788732394,npv,Synthpop
407,0.9959079045488441,auc,Synthpop
408,0.9658536585365853,acc,Original
409,97.01492537313433,sens,Original
410,95.77464788732394,spec,Original
411,97.74436090225564,ppv,Original
412,94.44444444444444,npv,Original
413,0.9930107630398368,auc,Original
414,0.9658536585365853,acc,Synthpop
415,99.19354838709677,sens,Synthpop
416,92.5925925925926,spec,Synthpop
417,95.34883720930233,ppv,Synthpop
418,98.68421052631578,npv,Synthpop
419,0.991994342291372,auc,Synthpop
420,0.9707317073170731,acc,Original
421,97.74436090225564,sens,Original
422,95.83333333333334,spec,Original
423,97.74436090225564,ppv,Original
424,95.83333333333334,npv,Original
425,0.9913164025646456,auc,Original
426,0.9560975609756097,acc,Synthpop
427,95.9349593495935,sens,Synthpop
428,95.1219512195122,spec,Synthpop
429,96.72131147540983,ppv,Synthpop
430,93.97590361445783,npv,Synthpop
431,0.9940668202764977,auc,Synthpop
432,0.9463414634146341,acc,Original
433,96.21212121212122,sens,Original
434,91.78082191780823,spec,Original
435,95.48872180451127,ppv,Original
436,93.05555555555556,npv,Original
437,0.9951287136338256,auc,Original
438,0.975609756097561,acc,Synthpop
439,98.4251968503937,sens,Synthpop
440,96.15384615384616,spec,Synthpop
441,97.65625,ppv,Synthpop
442,97.40259740259741,npv,Synthpop
443,0.9953021022383546,auc,Synthpop
444,0.9658536585365853,acc,Original
445,97.01492537313433,sens,Original
446,95.77464788732394,spec,Original
447,97.74436090225564,ppv,Original
448,94.44444444444444,npv,Original
449,0.996206943027129,auc,Original
450,0.9560975609756097,acc,Synthpop
451,96.15384615384616,sens,Synthpop
452,94.66666666666667,spec,Synthpop
453,96.89922480620154,ppv,Synthpop
454,93.42105263157895,npv,Synthpop
455,0.998000942951438,auc,Synthpop
456,0.9609756097560975,acc,Original
457,96.29629629629629,sens,Original
458,95.71428571428572,spec,Original
459,97.74436090225564,ppv,Original
460,93.05555555555556,npv,Original
461,0.9943970579740841,auc,Original
462,0.9414634146341463,acc,Synthpop
463,95.58823529411765,sens,Synthpop
464,91.30434782608695,spec,Synthpop
465,95.58823529411765,ppv,Synthpop
466,91.30434782608695,npv,Synthpop
467,0.9864122364122364,auc,Synthpop
468,0.975609756097561,acc,Original
469,98.48484848484848,sens,Original
470,95.8904109589041,spec,Original
471,97.74436090225564,ppv,Original
472,97.22222222222221,npv,Original
473,0.9953405086932244,auc,Original
474,0.9609756097560975,acc,Synthpop
475,96.875,sens,Synthpop
476,94.8051948051948,spec,Synthpop
477,96.875,ppv,Synthpop
478,94.8051948051948,npv,Synthpop
479,0.9955856775559588,auc,Synthpop
480,0.926829268292683,acc,Original
481,94.02985074626866,sens,Original
482,90.14084507042254,spec,Original
483,94.73684210526315,ppv,Original
484,88.88888888888889,npv,Original
485,0.9994031230144214,auc,Original
486,0.9365853658536586,acc,Synthpop
487,94.73684210526315,sens,Synthpop
488,91.66666666666666,spec,Synthpop
489,95.45454545454545,ppv,Synthpop
490,90.41095890410958,npv,Synthpop
491,0.9871441947565542,auc,Synthpop
492,0.9853658536585366,acc,Original
493,100.0,sens,Original
494,96.0,spec,Original
495,97.74436090225564,ppv,Original
496,100.0,npv,Original
497,0.9958411151972583,auc,Original
498,0.9609756097560975,acc,Synthpop
499,96.99248120300751,sens,Synthpop
500,94.44444444444444,spec,Synthpop
501,96.99248120300751,ppv,Synthpop
502,94.44444444444444,npv,Synthpop
503,0.9839689094000486,auc,Synthpop
504,0.9560975609756097,acc,Original
505,96.96969696969697,sens,Original
506,93.15068493150685,spec,Original
507,96.2406015037594,ppv,Original
508,94.44444444444444,npv,Original
509,0.9957640988120222,auc,Original
510,0.9853658536585366,acc,Synthpop
511,98.38709677419355,sens,Synthpop
512,98.76543209876543,spec,Synthpop
513,99.1869918699187,ppv,Synthpop
514,97.5609756097561,npv,Synthpop
515,0.9924072691062982,auc,Synthpop
516,0.9658536585365853,acc,Original
517,97.72727272727273,sens,Original
518,94.52054794520548,spec,Original
519,96.99248120300751,ppv,Original
520,95.83333333333334,npv,Original
521,0.9946088530334829,auc,Original
522,0.9560975609756097,acc,Synthpop
523,95.19999999999999,sens,Synthpop
524,96.25,spec,Synthpop
525,97.54098360655738,ppv,Synthpop
526,92.7710843373494,npv,Synthpop
527,0.977428955453149,auc,Synthpop
528,0.9658536585365853,acc,Original
529,97.01492537313433,sens,Original
530,95.77464788732394,spec,Original
531,97.74436090225564,ppv,Original
532,94.44444444444444,npv,Original
533,0.9941082465294492,auc,Original
534,0.9463414634146341,acc,Synthpop
535,95.55555555555556,sens,Synthpop
536,92.85714285714286,spec,Synthpop
537,96.26865671641791,ppv,Synthpop
538,91.54929577464789,npv,Synthpop
539,0.9950037285607756,auc,Synthpop
540,0.9463414634146341,acc,Original
541,97.65625,sens,Original
542,89.6103896103896,spec,Original
543,93.98496240601504,ppv,Original
544,95.83333333333334,npv,Original
545,0.9973236806130504,auc,Original
546,0.9512195121951219,acc,Synthpop
547,98.4126984126984,sens,Synthpop
548,89.87341772151899,spec,Synthpop
549,93.93939393939394,ppv,Synthpop
550,97.26027397260275,npv,Synthpop
551,0.9975468164794009,auc,Synthpop
552,0.9804878048780488,acc,Original
553,98.49624060150376,sens,Original
554,97.22222222222221,spec,Original
555,98.49624060150376,ppv,Original
556,97.22222222222221,npv,Original
557,0.9913934189498816,auc,Original
558,0.9414634146341463,acc,Synthpop
559,94.91525423728814,sens,Synthpop
560,93.10344827586206,spec,Synthpop
561,94.91525423728814,ppv,Synthpop
562,93.10344827586206,npv,Synthpop
563,0.9957666614882709,auc,Synthpop
564,0.9560975609756097,acc,Original
565,95.58823529411765,sens,Original
566,95.65217391304348,spec,Original
567,97.74436090225564,ppv,Original
568,91.66666666666666,npv,Original
